sample: 100%|██████████| 3000/3000 [02:42<00:00, 18.51it/s, 15 steps of size 3.02e-01. acc. prob=0.85]

                                    mean       std    median      5.0%     95.0%     n_eff     r_hat
         transcriptome/freq[3]      0.09      0.00      0.08      0.08      0.09   2689.54      1.00
         transcriptome/freq[4]      0.02      0.00      0.02      0.02      0.02   2828.65      1.00
         transcriptome/freq[5]      0.08      0.00      0.08      0.08      0.09   3304.67      1.00
         transcriptome/freq[6]      0.01      0.00      0.01      0.00      0.01   2490.47      1.00
         transcriptome/freq[7]      0.07      0.00      0.07      0.07      0.08   2839.78      1.00
         transcriptome/freq[8]      0.00      0.00      0.00      0.00      0.00   2645.29      1.00
         transcriptome/freq[9]      0.06      0.00      0.06      0.06      0.07   2980.20      1.00
        transcriptome/freq[10]      0.00      0.00      0.00      0.00      0.00   2840.50      1.00
        transcriptome/freq[11]      0.00      0.00      0.00      0.00      0.00   3388.49      1.00
        transcriptome/freq[12]      0.00      0.00      0.00      0.00      0.00   2409.21      1.00
        transcriptome/freq[13]      0.07      0.00      0.07      0.07      0.08   3761.61      1.00
        transcriptome/freq[14]      0.02      0.00      0.02      0.02      0.03   2699.24      1.00
        transcriptome/freq[15]      0.00      0.00      0.00      0.00      0.00   2534.18      1.00
        transcriptome/freq[16]      0.05      0.00      0.05      0.05      0.06   3966.35      1.00
        transcriptome/freq[17]      0.00      0.00      0.00      0.00      0.00   1943.75      1.00
        transcriptome/freq[18]      0.07      0.00      0.07      0.06      0.07   3750.62      1.00
        transcriptome/freq[19]      0.00      0.00      0.00      0.00      0.00   2859.41      1.00
        transcriptome/freq[20]      0.03      0.00      0.03      0.03      0.04   3521.15      1.00
        transcriptome/freq[21]      0.05      0.00      0.05      0.05      0.06   3759.32      1.00
        transcriptome/freq[22]      0.00      0.00      0.00      0.00      0.00   2430.71      1.00
        transcriptome/freq[23]      0.06      0.00      0.06      0.06      0.07   3509.99      1.00
        transcriptome/freq[24]      0.06      0.00      0.06      0.06      0.07   4536.18      1.00
        transcriptome/freq[25]      0.00      0.00      0.00      0.00      0.00   2888.90      1.00
        transcriptome/freq[26]      0.07      0.00      0.07      0.07      0.08   2954.94      1.00
        transcriptome/freq[27]      0.06      0.00      0.06      0.05      0.06   3715.27      1.00
        transcriptome/freq[28]      0.00      0.00      0.00      0.00      0.00   2416.57      1.00
        transcriptome/freq[29]      0.12      0.02      0.12      0.09      0.14   3951.31      1.00
 transcriptome/perturb/beta[0]      0.14      0.14      0.13     -0.08      0.37   2723.59      1.00
 transcriptome/perturb/beta[1]      0.10      0.14      0.09     -0.15      0.30   2659.05      1.00
 transcriptome/perturb/beta[2]      0.08      0.14      0.07     -0.13      0.30   2775.21      1.00
 transcriptome/perturb/beta[3]      0.04      0.13      0.03     -0.17      0.24   2543.87      1.00
 transcriptome/perturb/beta[4]      0.49      0.21      0.47      0.19      0.85   2007.47      1.00
 transcriptome/perturb/beta[5]     -0.07      0.10     -0.07     -0.22      0.11   2818.21      1.00
 transcriptome/perturb/beta[6]      0.42      0.28      0.41     -0.02      0.87   2124.80      1.00
 transcriptome/perturb/beta[7]      0.17      0.14      0.16     -0.07      0.38   2006.24      1.00
 transcriptome/perturb/beta[8]     -0.12      0.44     -0.19     -0.77      0.59   1792.66      1.00
 transcriptome/perturb/beta[9]      0.26      0.16      0.25      0.00      0.50   2625.59      1.00
transcriptome/perturb/beta[10]     10.37      1.81     10.31      7.35     13.24   2319.48      1.00
transcriptome/perturb/beta[11]     18.85      1.74     18.86     16.11     21.75   2896.10      1.00
transcriptome/perturb/beta[12]     10.44      1.38     10.37      8.12     12.63   2273.32      1.00
transcriptome/perturb/beta[13]     -0.96      0.03     -0.96     -1.01     -0.92   4093.18      1.00
transcriptome/perturb/beta[14]     -0.86      0.06     -0.86     -0.95     -0.75   3109.26      1.00
transcriptome/perturb/beta[15]     15.98      1.61     15.99     13.43     18.68   2458.77      1.00
transcriptome/perturb/beta[16]     -0.98      0.04     -0.98     -1.04     -0.92   3116.65      1.00
transcriptome/perturb/beta[17]     13.99      1.57     13.96     11.61     16.76   2087.47      1.00
transcriptome/perturb/beta[18]     -0.94      0.03     -0.94     -1.00     -0.89   2969.48      1.00
transcriptome/perturb/beta[19]     16.82      1.56     16.79     14.39     19.49   2640.64      1.00
transcriptome/perturb/beta[20]     -1.52      0.06     -1.52     -1.62     -1.42   3826.43      1.00
transcriptome/perturb/beta[21]     -1.45      0.05     -1.44     -1.54     -1.36   3756.40      1.00
transcriptome/perturb/beta[22]     17.04      2.02     17.00     13.69     20.24   2265.95      1.00
transcriptome/perturb/beta[23]     -1.36      0.05     -1.36     -1.44     -1.28   3195.59      1.00
transcriptome/perturb/beta[24]     -1.46      0.05     -1.46     -1.55     -1.37   3526.64      1.00
transcriptome/perturb/beta[25]     15.57      1.96     15.50     12.18     18.57   2437.83      1.00
transcriptome/perturb/beta[26]     -1.52      0.05     -1.52     -1.61     -1.44   3166.35      1.00
transcriptome/perturb/beta[27]     -1.49      0.06     -1.49     -1.59     -1.39   3491.01      1.00
transcriptome/perturb/beta[28]     10.68      1.47     10.60      8.13     12.95   2228.75      1.00
transcriptome/perturb/beta[29]     -7.61      1.71     -7.46    -10.42     -4.92   4062.69      1.00
